Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M21402075+4154381 4954.98 2.62   0.209  0.01   9.2450e-01 -2.8475e-01  1.72   8.03   5.31  0.013 0.004 0.003 0.023 0.07 
I  2M21402171+4201159 4726.34 2.41   0.287  0.024  4.0897e-01  1.1806e+00  0.57   8.06   2.204 0.006 0.002 0.002 0.015 0.045
I  2M21402310+4129422 4609.49 2.3   -0.13   0.076  4.5050e-01  9.8096e-01  0.51   8.17   2.027 0.007 0.002 0.002 0.016 0.047
I  2M21402497+4258082 4659.24 2.37   0.249  0.031  2.1310e-01  1.8400e+00  1.0    8.62   2.747 0.009 0.002 0.002 0.018 0.052
I  2M21402533+4124090 5028.89 3.22   0.129  0.072  7.9795e-01  1.1300e-02  1.19   8.03   6.98  0.011 0.005 0.003 0.022 0.065
I  2M21402665+4320213 4158.84 1.42  -0.243  0.074  3.6703e-01  1.2081e+00  0.83   9.54   1.213 0.006 0.002 0.002 0.011 0.035
I  2M21402794+4247533 5027.11 3.13   0.142  0.063  4.6287e-01  1.0237e+00  1.84   8.17   8.932 0.016 0.006 0.004 0.035 0.101
I  2M21403106+4346088 4921.95 3.04   0.106  0.046  1.6525e-01  2.0721e+00  1.3    8.2    8.053 0.013 0.006 0.004 0.024 0.071
I  2M21403187+4335578 4631.35 2.75   0.092  0.147  8.5270e-02  2.5727e+00  1.63   8.88   5.796 0.014 0.004 0.004 0.026 0.077
I  2M21403217+4256305 4821.85 2.96   0.025  0.089  3.4572e-01  1.5626e+00  1.04   8.53   6.666 0.012 0.005 0.004 0.024 0.071
I  2M21403256+4228592 4792.36 2.8   -0.07   0.123  2.8441e-01  1.3605e+00  1.46   8.22   6.053 0.012 0.005 0.004 0.024 0.071
I  2M21403278+4308343 4366.57 1.84   0.09   0.036  3.5488e-01  1.4115e+00  0.7    8.64   1.366 0.006 0.001 0.002 0.013 0.039
I  2M21403283+4150254 4702.67 2.59   0.201  0.051  7.7419e-01  2.0815e-01  1.2    8.4    3.982 0.011 0.003 0.003 0.026 0.077
I  2M21403292+4331181 4501.6  2.23   0.158  0.053  3.6306e-01  1.5666e+00  1.01   8.58   2.097 0.008 0.002 0.002 0.018 0.055
I  2M21403661+4141307 4707.95 2.54  -0.625  0.258  1.2937e-01  1.6850e+00  1.93   9.38   6.493 0.016 0.006 0.003 0.021 0.063
I  2M21403829+4311599 4758.28 2.7    0.165  0.052  8.1783e-01 -3.0830e-02  1.08   8.34   4.44  0.012 0.004 0.003 0.024 0.068
I  2M21403920+4240396 4961.73 2.54  -0.055  0.077  1.5634e-01  1.5651e+00  1.99   9.14   7.858 0.019 0.007 0.006 0.039 0.106
I  2M21403941+4347076 4407.47 2.0   -0.122  0.054  2.0202e-01  1.8340e+00  1.2    9.7    2.982 0.013 0.003 0.004 0.025 0.078
I  2M21404191+4339571 4525.0  1.95  -0.348  0.051  2.8863e-01  1.3761e+00  0.65   8.33   1.867 0.007 0.002 0.002 0.014 0.042
I  2M21404765+4113110 4698.35 2.27  -0.377  0.155  4.0753e-01  9.6221e-01  1.99  10.56   7.103 0.023 0.007 0.006 0.039 0.119
I  2M21404765+4344028 4908.08 2.4   -0.438  0.064  1.4367e-01  1.4765e+00  0.93   8.28   5.094 0.012 0.004 0.003 0.019 0.055
I  2M21404865+4135591 4776.57 2.72   0.192  0.056  9.7760e-02  2.0939e+00  1.76   8.33   7.013 0.016 0.005 0.004 0.03  0.092
I  2M21405231+4157513 4241.43 1.74  -0.044  0.075  4.9380e-02  2.3909e+00  1.46   8.18   1.8   0.008 0.002 0.003 0.014 0.045
I  2M21405287+4310327 4812.93 2.38  -0.288  0.172 -9.5790e-02  2.1962e+00  0.97   8.83   5.033 0.012 0.004 0.004 0.02  0.057
I  2M21405308+4332460 4993.13 2.83  -0.242  0.039  4.6930e-01  8.9407e-01  1.16   8.3    7.659 0.018 0.006 0.004 0.029 0.083
I  2M21405419+4244263 4882.97 2.83   0.177  0.076  8.4416e-01 -1.4831e-01  3.33   8.22  10.158 0.022 0.008 0.005 0.041 0.118
I  2M21405472+4324113 4785.4  3.18   0.202  0.091  1.0515e-01  2.6682e+00  1.27   8.29   6.141 0.01  0.004 0.003 0.019 0.056
I  2M21405641+4345101 4668.27 2.68  -0.006  0.059  2.1755e-01  2.0766e+00  0.92   8.13   3.256 0.008 0.003 0.003 0.017 0.05 
I  2M21405728+4210064 4580.59 2.25  -0.451  0.236 -4.0110e-02  2.1181e+00  1.63   9.86   5.088 0.016 0.005 0.004 0.026 0.076
I  2M21405859+4211033 4627.96 2.25   0.105  0.085  3.0417e-01  1.2223e+00  2.82  10.06   5.426 0.018 0.005 0.005 0.041 0.121
I  2M21411101+4323467 4834.77 2.8   -0.067  0.057  1.6690e-02  2.4004e+00  1.17   8.82   6.796 0.013 0.005 0.004 0.021 0.061
I  2M21411275+4311594 5002.18 3.29  -0.361  0.127  3.1787e-01  1.4250e+00  0.49   8.02   4.106 0.007 0.003 0.002 0.01  0.029
I  2M21411369+4343241 4942.95 2.38  -0.43   0.124  4.1430e-02  1.6954e+00  1.3    8.4    6.355 0.014 0.005 0.005 0.026 0.073
I  2M21411737+4207372 4994.95 3.21  -0.126  0.078  3.3556e-01  1.2794e+00  1.99   8.11  10.091 0.014 0.007 0.005 0.029 0.085
I  2M21412125+4129567 4252.26 1.44  -0.363  0.148  4.1622e-01  9.9273e-01  1.76  11.87   1.985 0.009 0.003 0.003 0.017 0.051
I  2M21412388+4311245 4829.32 2.78  -0.611  0.213  1.8552e-01  1.5198e+00  1.1    9.02   7.448 0.014 0.005 0.003 0.016 0.046
I  2M21412395+4226042 4947.35 2.53  -0.344  0.15   2.0610e-02  1.8167e+00  1.03   8.17   5.297 0.011 0.004 0.004 0.02  0.056
I  2M21412433+4250052 4790.7  2.77  -0.215  0.103  3.3977e-01  1.3305e+00  1.04   8.63   5.889 0.012 0.004 0.004 0.022 0.064
I  2M21412444+4126206 4821.2  2.61  -0.048  0.059  2.4476e-01  1.4719e+00  1.01   8.11   4.796 0.011 0.004 0.003 0.024 0.07 
I  2M21412488+4318520 4723.32 2.67  -0.19   0.071  2.0092e-01  1.9059e+00  0.94   8.36   4.475 0.01  0.003 0.003 0.018 0.055
I  2M21412491+4221166 4842.82 2.42  -0.139  0.156  9.3640e-02  1.7051e+00  2.19   9.54   7.0   0.017 0.006 0.005 0.031 0.087
I  2M21412511+4336173 4103.55 1.4   -0.097  0.056  3.9710e-01  1.2263e+00  1.18   9.73   1.309 0.007 0.002 0.002 0.012 0.038
I  2M21412810+4320528 4323.75 1.65  -0.297  0.082  4.4447e-01  8.7203e-01  0.99  10.21   1.706 0.008 0.002 0.003 0.015 0.045
I  2M21413073+4338111 4784.0  2.47  -0.351  0.044  1.7005e-01  1.6365e+00  1.19   9.31   7.143 0.018 0.006 0.004 0.026 0.078
I  2M21413503+4353306 4786.1  2.44   0.05   0.043  1.0400e-01  2.1063e+00  1.04   8.26   3.941 0.01  0.003 0.003 0.02  0.051
I  2M21413591+4107049 4655.4  2.29  -0.227  0.09   6.8888e-01  3.0686e-01  1.77   8.33   4.114 0.014 0.004 0.004 0.024 0.071
I  2M21413669+4336432 4651.06 2.7    0.1    0.049  1.4840e-02  2.7137e+00  1.38   8.5    5.321 0.013 0.004 0.004 0.024 0.068
I  2M21413909+4215451 4441.16 2.49   0.069  0.118 -2.9622e-01  3.4467e+00  4.16   9.89   5.304 0.018 0.005 0.006 0.027 0.082
I  2M21414146+4357534 4786.66 2.42  -0.096  0.068  5.3024e-01  5.3306e-01  1.08   9.14   5.513 0.015 0.005 0.004 0.035 0.099
I  2M21414448+4201027 4294.12 1.55  -0.072  0.033  5.2424e-01  8.8639e-01  1.14   9.1    1.58  0.007 0.002 0.002 0.015 0.046
I  2M21414458+4232014 4750.85 2.45  -0.21   0.14   3.9720e-02  1.9431e+00  2.01   8.93   8.308 0.02  0.007 0.007 0.042 0.119
I  2M21414462+4135204 4168.83 1.46  -0.069  0.054  2.9124e-01  1.5621e+00  0.55   8.13   0.956 0.005 0.001 0.002 0.009 0.027
I  2M21414554+4308532 4195.46 1.85  -0.065  0.133  9.4780e-02  2.2721e+00  1.11   9.39   1.546 0.007 0.002 0.002 0.012 0.038
I  2M21414856+4314507 4313.51 1.65  -0.145  0.044  3.3608e-01  1.3371e+00  0.52   8.52   1.148 0.005 0.001 0.002 0.011 0.033
I  2M21414902+4151528 4983.86 2.87   0.269 -0.005  1.0995e+00 -7.4313e-01  0.58   8.0    3.241 0.007 0.002 0.001 0.011 0.032
I  2M21415125+4342389 4957.04 3.17  -0.473  0.189  1.5165e-01  1.8541e+00  1.4    8.57  10.216 0.017 0.007 0.005 0.021 0.063
I  2M21415412+4317289 4996.24 3.21  -0.061  0.042  4.1536e-01  1.4631e+00  1.18   8.11   8.3   0.012 0.005 0.004 0.025 0.074
I  2M21415523+4225367 4227.59 1.45  -0.466  0.15   2.3175e-01  1.4728e+00  1.38  13.04   1.983 0.01  0.003 0.003 0.017 0.051
I  2M21415603+4130066 4918.89 2.37  -0.368  0.15   8.8500e-02  1.6936e+00  1.09   8.65   5.947 0.013 0.005 0.005 0.025 0.068
I  2M21415621+4143430 4910.93 2.82  -0.337  0.143  6.1335e-01  4.1722e-01  1.46   8.3    9.096 0.016 0.006 0.004 0.022 0.063
I  2M21415771+4228497 4430.04 1.97  -0.044  0.058  3.4905e-01  1.3216e+00  1.05   8.44   2.009 0.009 0.002 0.003 0.018 0.058
I  2M21420198+4354329 4713.89 2.83   0.069  0.053  2.4443e-01  2.0797e+00  0.38   8.02   2.162 0.005 0.002 0.002 0.01  0.029
I  2M21420489+4224217 4638.61 2.61  -0.491  0.238 -5.6190e-02  2.2889e+00  0.92   8.02   3.066 0.008 0.003 0.002 0.011 0.034
I  2M21420560+4330488 4602.84 2.48   0.014  0.048  2.0623e-01  2.2022e+00  1.1    8.66   3.905 0.012 0.003 0.004 0.025 0.074
I  2M21420575+4303188 4789.63 2.36  -0.153  0.091 -9.4970e-02  2.3014e+00  0.64   8.47   3.255 0.008 0.003 0.003 0.014 0.039
I  2M21420597+4312045 4320.1  1.92   0.011  0.069  3.3412e-01  1.4886e+00  0.55   8.27   1.182 0.006 0.001 0.002 0.011 0.033
I  2M21420650+4118146 4745.94 2.86   0.146  0.084  3.1435e-01  1.4940e+00  1.14   8.07   3.967 0.008 0.003 0.002 0.018 0.055
I  2M21420922+4216417 4901.11 2.69  -0.101  0.195 -2.7337e-01  2.7455e+00  2.7    8.95  10.844 0.022 0.009 0.006 0.03  0.084
I  2M21420997+4227344 4539.77 1.98  -0.517  0.096  1.8544e-01  1.4185e+00  2.57  11.59   4.675 0.018 0.005 0.005 0.03  0.091
I  2M21420998+4331498 4282.94 1.55  -0.451  0.139  3.0817e-01  1.1485e+00  1.23  13.43   2.071 0.01  0.003 0.003 0.017 0.053
I  2M21421060+4355263 4738.3  2.21  -0.345  0.085  1.1697e+00 -1.3583e+00  1.72  10.35   6.378 0.019 0.006 0.004 0.021 0.058
