Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M20130331+1842529 4301.27 1.66  -0.469  0.202  3.0991e-01  1.3091e+00  1.14   6.87   1.696 0.008 0.002 0.002 0.013 0.04 
I  2M20130414+2042308 4744.39 2.99   0.246  0.06   3.1556e-01  1.9794e+00  1.05   7.32   5.059 0.01  0.004 0.003 0.021 0.064
I  2M20130415+2023248 4359.73 2.12   0.099  0.061  7.8930e-02  2.4265e+00  1.3    8.01   2.756 0.011 0.003 0.004 0.021 0.063
I  2M20130457+2040546 4388.76 1.94  -0.042  0.028  5.1215e-01  8.6622e-01  0.46   7.57   1.149 0.005 0.001 0.002 0.011 0.033
I  2M20130514+1851495 4539.95 2.44   0.206  0.085  3.1357e-01  1.5512e+00  1.12   6.87   2.726 0.009 0.002 0.002 0.02  0.06 
I  2M20130530+2048357 4485.66 2.05  -0.176  0.056  3.2853e-01  1.3259e+00  0.83   7.01   2.112 0.009 0.002 0.003 0.018 0.055
I  2M20130535+2043053 4702.94 2.56  -0.093  0.074  6.6572e-01  4.1877e-01  0.6    7.34   2.595 0.007 0.002 0.002 0.014 0.04 
I  2M20130687+2044173 4824.78 3.1   -0.12   0.142  2.7194e-01  2.1400e+00  1.43   7.0    8.634 0.013 0.006 0.005 0.024 0.071
I  2M20130836+1914284 4331.98 1.53  -0.327  0.109  1.8887e-01  1.6654e+00  0.82   6.9    1.536 0.006 0.002 0.002 0.013 0.04 
I  2M20130837+2053434 4595.58 2.69   0.223  0.056  4.7554e-01  1.6255e+00  1.11   7.11   3.774 0.011 0.003 0.003 0.024 0.075
I  2M20130939+2003185 4588.99 2.66  -0.099  0.19   2.2650e-01  1.8750e+00  1.32   6.99   4.123 0.012 0.004 0.003 0.021 0.063
I  2M20130958+2102441 4946.08 3.13   0.043  0.051  6.5764e-01  4.8877e-01  1.16   7.38   8.503 0.012 0.005 0.004 0.026 0.075
I  2M20130991+2038007 4588.64 2.46   0.206  0.087 -3.0526e-01  3.6015e+00  1.63   7.13   3.11  0.01  0.003 0.003 0.014 0.037
I  2M20131241+2100462 4574.26 2.69   0.289  0.081  6.2090e-02  2.6814e+00  1.23   7.01   4.458 0.013 0.004 0.004 0.023 0.067
I  2M20131257+2026426 4964.32 3.24  -0.009  0.068  3.7730e-01  1.5066e+00  1.08   7.38   7.849 0.011 0.005 0.004 0.022 0.065
I  2M20131431+2050426 4591.84 2.57   0.157  0.065  5.0081e-01  1.3195e+00  1.05   7.06   3.948 0.012 0.003 0.003 0.028 0.085
I  2M20131675+1815559 4772.44 2.39  -0.216  0.152  4.0380e-01  8.8667e-01  1.58   6.84   7.236 0.019 0.006 0.005 0.039 0.111
I  2M20131917+2030385 4789.26 2.82   0.032  0.052  2.6421e-01  1.8805e+00  1.05   7.15   6.555 0.013 0.005 0.004 0.027 0.079
I  2M20131954+2047124 4402.38 1.72  -0.251  0.081  3.4722e-01  1.0517e+00  1.23   9.34   2.65  0.012 0.003 0.004 0.024 0.073
I  2M20132011+1843523 4727.79 3.14   0.302  0.072  2.1403e-01  2.1151e+00  1.56   7.01   4.986 0.009 0.004 0.003 0.019 0.057
I  2M20132048+1817307 4742.79 2.38   0.242  0.044  1.0637e+00 -7.1528e-01  0.79   7.29   2.392 0.007 0.002 0.002 0.014 0.039
I  2M20132348+1931392 4893.81 3.11   0.193  0.075  2.9392e-01  1.4970e+00  1.8    7.17   9.627 0.016 0.007 0.005 0.03  0.09 
I  2M20132412+1924043 4590.56 2.45  -0.15   0.119  1.3790e-02  2.0598e+00  1.7    6.91   5.543 0.016 0.005 0.006 0.031 0.094
I  2M20132612+1916293 4740.04 2.46  -0.074  0.182 -2.1099e-01  2.6827e+00  1.72   7.02   5.085 0.013 0.004 0.003 0.02  0.055
I  2M20132702+2027185 4178.06 1.8    0.221  0.032 -3.9750e-02  2.8842e+00  1.57   7.06   1.725 0.008 0.002 0.003 0.014 0.04 
I  2M20132723+2111498 4533.81 2.69   0.238  0.1    1.6041e-01  2.3599e+00  1.32   7.02   4.221 0.012 0.003 0.004 0.024 0.071
I  2M20132745+2035173 4591.62 2.45   0.231  0.031  7.1708e-01  5.2155e-01  1.1    7.05   2.565 0.009 0.002 0.002 0.021 0.062
I  2M20132967+2020196 4646.85 2.58  -0.323  0.204  7.7160e-02  2.0829e+00  0.92   6.97   4.519 0.012 0.004 0.003 0.02  0.06 
I  2M20133014+1955238 4678.37 2.67  -0.344  0.208  7.1030e-02  2.1138e+00  0.84   6.99   4.205 0.01  0.004 0.003 0.016 0.049
I  2M20133098+1930567 4742.82 2.76  -0.517  0.209 -1.0960e-02  2.0258e+00  1.58   6.93   7.083 0.014 0.005 0.004 0.02  0.058
I  2M20133151+2026182 4781.72 2.82  -0.04   0.088  3.6125e-01  1.4049e+00  1.25   6.98   6.401 0.013 0.005 0.004 0.026 0.077
I  2M20133181+1854360 4651.43 2.5   -0.011  0.191 -2.0997e-01  2.7145e+00  2.01   6.88   5.744 0.016 0.005 0.004 0.025 0.07 
I  2M20133191+2012387 4485.97 2.25   0.093 -0.015  4.9871e-01  1.1098e+00  0.6    7.28   1.575 0.006 0.002 0.002 0.013 0.04 
I  2M20133226+1907055 4319.94 1.66  -0.337  0.19   2.5470e-02  2.1098e+00  1.47   8.97   2.334 0.011 0.003 0.003 0.018 0.052
I  2M20133453+1903266 4156.4  1.56  -0.061 -0.012  8.3686e-01 -3.2223e-01  2.5    7.19   1.872 0.009 0.002 0.003 0.017 0.045
I  2M20133467+1954095 4714.45 2.57  -0.707  0.259  2.6050e-02  2.0821e+00  0.98   7.59   5.858 0.013 0.005 0.003 0.017 0.05 
I  2M20133532+1816481 4732.49 2.77   0.2    0.035  4.3190e-01  1.2660e+00  0.9    7.3    3.467 0.008 0.003 0.002 0.019 0.058
I  2M20133696+1918268 4809.46 2.62  -0.31   0.255 -2.9921e-01  2.7624e+00  2.49   6.98  10.629 0.02  0.008 0.005 0.028 0.076
I  2M20133720+2043396 4986.77 3.29  -0.147  0.066  3.0176e-01  1.5402e+00  0.67   7.64   4.696 0.007 0.003 0.002 0.012 0.037
I  2M20133804+1828474 4970.33 3.11   0.084  0.07   8.2934e-01 -4.0250e-02  1.69   7.49   8.075 0.013 0.005 0.003 0.024 0.069
I  2M20133834+2022250 4461.84 2.22   0.146  0.042  5.4611e-01  8.3031e-01  0.82   7.07   1.761 0.007 0.002 0.002 0.016 0.05 
I  2M20133945+1922284 4874.57 3.09  -0.044  0.122  1.2922e-01  1.8330e+00  2.41   7.08  10.033 0.014 0.007 0.005 0.026 0.077
I  2M20134314+2048163 4247.26 1.85  -0.185  0.138  1.4241e-01  2.0053e+00  0.53   7.13   1.134 0.005 0.001 0.002 0.009 0.028
I  2M20134382+2055091 4780.69 2.82   0.108  0.061  9.0669e-01 -1.4645e-01  1.66   7.08   6.148 0.014 0.005 0.004 0.025 0.071
I  2M20134416+2108527 4708.45 2.58  -0.194  0.072  4.5801e-01  9.4942e-01  1.07   7.06   5.538 0.014 0.004 0.005 0.027 0.078
I  2M20134556+2027151 4339.86 1.86   0.136  0.022  1.4581e-01  2.1814e+00  0.91   7.04   1.57  0.007 0.002 0.002 0.013 0.039
I  2M20134733+2056317 4377.87 1.96  -0.347  0.189  9.7250e-02  1.9606e+00  0.98   8.0    2.388 0.011 0.003 0.003 0.017 0.053
I  2M20134807+1912007 4626.4  2.46   0.023  0.166 -2.3135e-01  2.8274e+00  2.8    7.2    5.811 0.017 0.005 0.005 0.026 0.075
I  2M20135304+1924040 4675.6  2.76  -0.341  0.273 -1.6310e-01  2.4825e+00  2.39   6.98   7.068 0.015 0.006 0.004 0.022 0.063
I  2M20135419+1958447 4397.69 2.03  -0.169  0.126  8.9080e-02  2.1498e+00  1.17   7.2    2.48  0.01  0.003 0.004 0.019 0.057
I  2M20135547+1841509 4684.0  2.65   0.175  0.031  5.4817e-01  9.2844e-01  0.94   7.02   4.202 0.012 0.003 0.003 0.027 0.082
I  2M20135598+1832422 4741.18 2.35  -0.207  0.174 -7.8700e-02  2.2783e+00  0.98   7.0    3.703 0.01  0.003 0.003 0.017 0.048
I  2M20140094+2052394 4931.2  3.24   0.114  0.049  4.8175e-01  1.3280e+00  1.13   7.27   7.873 0.011 0.005 0.004 0.023 0.069
I  2M20140237+2012053 4130.77 1.53   0.004  0.045  1.3795e-01  2.1305e+00  1.05   7.08   1.308 0.006 0.002 0.002 0.011 0.035
I  2M20140511+2045351 4410.64 1.89  -0.464  0.238 -1.2455e-01  2.4997e+00  1.1    8.64   2.57  0.011 0.003 0.003 0.017 0.05 
I  2M20140582+2104371 4737.38 2.89  -0.103  0.144  1.6212e-01  2.2915e+00  1.16   7.11   5.922 0.011 0.004 0.004 0.021 0.063
I  2M20140596+2103133 4769.27 2.64  -0.278  0.109  2.7606e-01  1.4149e+00  1.1    7.02   7.586 0.017 0.006 0.006 0.03  0.09 
I  2M20140773+2023169 4608.2  2.71   0.074  0.134  1.9749e-01  2.1389e+00  0.95   7.11   3.311 0.009 0.003 0.003 0.018 0.052
I  2M20141054+1905162 4619.19 2.78  -0.172  0.212  8.6030e-02  2.2315e+00  1.12   7.11   3.32  0.008 0.003 0.002 0.014 0.043
I  2M20141266+2051539 4154.0  1.69  -0.214  0.196  1.9418e-01  1.7624e+00  1.26   8.83   2.306 0.012 0.003 0.003 0.018 0.057
I  2M20141617+2035059 4727.5  2.93   0.101  0.044  2.6570e-02  2.5269e+00  1.1    7.07   5.33  0.011 0.004 0.003 0.019 0.056
I  2M20141682+1909193 4611.01 2.69  -0.051  0.197 -1.5796e-01  2.6412e+00  2.16   6.94   5.491 0.014 0.005 0.004 0.023 0.066
I  2M20141766+2022089 4559.59 2.5    0.006  0.058  1.9378e-01  2.1098e+00  1.19   6.98   3.447 0.011 0.003 0.003 0.021 0.065
I  2M20142215+1928430 4816.99 3.08  -0.052  0.209 -1.3944e-01  2.5346e+00  3.06   6.95  12.166 0.018 0.008 0.005 0.028 0.082
I  2M20142255+1924416 4941.5  3.07   0.005  0.08   3.0297e-01  1.1833e+00  3.19   7.04  13.827 0.021 0.009 0.007 0.043 0.128
I  2M20142397+1910104 4665.79 2.36   0.093  0.099 -1.5230e-02  2.1951e+00  2.39   7.18   5.85  0.018 0.005 0.005 0.031 0.09 
I  2M20142464+2032561 4438.03 2.37   0.027  0.131  8.8130e-02  2.4437e+00  1.08   7.08   2.482 0.009 0.002 0.003 0.016 0.049
I  2M20142480+1943008 4458.21 2.13   0.038  0.069  2.8752e-01  1.5374e+00  1.49   7.13   2.554 0.01  0.002 0.003 0.022 0.068
I  2M20142573+2025059 4746.63 2.76   0.007  0.048  3.6313e-01  1.4823e+00  0.85   7.2    4.038 0.009 0.003 0.003 0.019 0.057
I  2M20142718+1927126 4980.02 3.07  -0.002  0.088  6.9219e-01  1.9097e-01  1.39   7.33   9.801 0.015 0.007 0.004 0.03  0.086
I  2M20142859+1850176 4214.58 1.6   -0.447  0.2    1.7942e-01  1.6804e+00  0.75   6.94   1.292 0.006 0.002 0.002 0.01  0.031
I  2M20143077+2013019 4872.69 3.2    0.133  0.076  2.5556e-01  2.0651e+00  1.1    7.19   6.874 0.01  0.005 0.003 0.02  0.059
I  2M20143079+2027134 4864.03 2.48  -0.065  0.039  1.3221e-01  1.7333e+00  0.9    7.2    4.326 0.01  0.004 0.003 0.021 0.058
I  2M20143210+1843288 4641.5  2.89   0.13   0.117  6.9160e-02  2.4397e+00  1.89   6.98   4.575 0.01  0.004 0.003 0.02  0.06 
I  2M20143380+2022545 4791.99 2.84  -0.665  0.237  7.1150e-02  2.0200e+00  1.22   6.98   7.469 0.014 0.006 0.003 0.016 0.047
I  2M20143547+1930502 4911.4  3.18  -0.228  0.198 -2.2980e-02  2.0961e+00  2.26   7.05  12.947 0.017 0.008 0.005 0.026 0.077
I  2M20143605+1831539 4210.87 1.63  -0.118  0.083  2.6485e-01  1.6477e+00  1.16   7.14   1.644 0.008 0.002 0.003 0.015 0.046
I  2M20143827+1954302 4323.23 1.75  -0.245  0.156 -3.5850e-02  2.4155e+00  0.64   6.95   1.414 0.006 0.002 0.002 0.01  0.031
I  2M20143931+1947365 4642.53 2.93   0.162  0.139 -4.2980e-02  2.5032e+00  2.93   7.1    7.326 0.016 0.005 0.005 0.029 0.084
I  2M20144433+2004393 4713.39 2.53  -0.401  0.096  2.3937e-01  1.4261e+00  1.07   7.05   5.987 0.014 0.005 0.004 0.023 0.068
I  2M20145087+2015115 4736.37 2.71  -0.142  0.101  3.0515e-01  1.5586e+00  0.66   7.26   3.406 0.008 0.003 0.003 0.016 0.047
I  2M20145089+1859008 4546.6  2.67   0.219  0.112  1.6144e-01  2.1356e+00  1.8    6.93   3.515 0.01  0.003 0.003 0.02  0.06 
I  2M20145432+1908242 4878.45 2.9   -0.084  0.102  3.0191e-01  1.4044e+00  1.54   7.05   8.095 0.014 0.006 0.005 0.026 0.077
I  2M20145475+2109551 4345.17 1.9    0.013 -0.002  1.6824e-01  2.1164e+00  0.69   7.63   1.322 0.006 0.001 0.002 0.011 0.034
I  2M20145753+1844306 4610.15 2.82   0.206  0.104  1.9983e-01  2.1312e+00  1.52   7.15   3.652 0.009 0.003 0.003 0.019 0.056
I  2M20150027+1838473 4423.39 2.07  -0.479  0.2    3.9170e-02  2.1229e+00  1.29   7.82   3.585 0.015 0.005 0.004 0.023 0.072
I  2M20150454+1838062 4794.78 2.53   0.111  0.119  9.6795e-01 -5.0551e-01  1.5    7.21   4.572 0.013 0.004 0.003 0.021 0.06 
I  2M20150651+1848093 4214.85 1.73   0.116  0.053  3.4849e-01  1.4829e+00  1.41   6.92   1.625 0.008 0.002 0.002 0.015 0.047
I  2M20150656+1944128 4258.43 1.88   0.149  0.088  1.1062e-01  2.1306e+00  2.42   6.94   2.266 0.011 0.002 0.003 0.018 0.056
I  2M20150800+2006351 4269.63 1.56  -0.217  0.111  2.5210e-02  2.1847e+00  2.34   9.94   2.742 0.012 0.003 0.005 0.022 0.065
I  2M20150902+1952045 4775.61 2.9    0.045  0.076  2.3734e-01  1.8496e+00  0.54   7.47   3.08  0.006 0.002 0.002 0.012 0.036
I  2M20150934+2101343 4818.5  2.36  -0.18   0.069  2.9900e-02  2.0149e+00  1.05   7.14   5.659 0.014 0.005 0.004 0.027 0.07 
I  2M20151374+1912377 4452.51 2.25  -0.015  0.075  1.4721e-01  1.9678e+00  1.35   7.11   2.468 0.01  0.002 0.003 0.018 0.057
I  2M20151650+1930511 4859.13 2.49  -0.417  0.226  4.1100e-03  1.7935e+00  2.31   6.96  10.706 0.022 0.009 0.005 0.034 0.093
I  2M20151693+1928394 4288.23 2.24   0.208  0.109  9.2890e-02  2.3018e+00  2.36   6.94   2.41  0.01  0.002 0.003 0.017 0.053
I  2M20151738+2100028 4671.62 2.43  -0.254  0.103  3.9310e-02  2.1865e+00  0.99   7.05   4.996 0.013 0.004 0.004 0.025 0.075
I  2M20151902+2102313 4988.24 3.08  -0.1    0.03   3.9234e-01  1.1706e+00  1.03   7.17   8.718 0.015 0.006 0.004 0.029 0.084
I  2M20152006+2002190 4755.48 2.74  -0.494  0.253 -4.6890e-02  2.1831e+00  1.38   7.06   8.138 0.015 0.006 0.003 0.021 0.06 
I  2M20152245+1936106 4881.01 2.45  -0.551  0.26  -2.0301e-01  2.2655e+00  1.99   7.07  10.032 0.019 0.008 0.004 0.025 0.071
I  2M20152927+1926300 4763.5  2.36  -0.298  0.242 -9.7400e-03  2.0048e+00  1.15   7.24   4.089 0.01  0.004 0.002 0.016 0.043
I  2M20153255+1905545 4760.57 2.93  -0.18   0.205  3.0143e-01  1.4918e+00  1.95   6.91   8.098 0.014 0.006 0.004 0.024 0.071
I  2M20153720+1827406 4645.13 2.45  -0.714  0.265 -2.9650e-02  2.1301e+00  1.28   7.24   5.728 0.015 0.005 0.003 0.019 0.058
I  2M20154224+2046340 4339.95 1.99  -0.072  0.069  1.1913e-01  2.1701e+00  0.89   7.01   1.75  0.008 0.002 0.003 0.014 0.043
I  2M20154790+1836043 4968.53 2.46  -0.333  0.098  3.0829e-01  1.0644e+00  0.98   7.14   6.176 0.015 0.005 0.005 0.031 0.088
I  2M20155223+1932062 4719.37 2.67  -0.477  0.287 -1.3167e-01  2.3598e+00  2.35   7.0    9.262 0.019 0.008 0.004 0.027 0.077
I  2M20155279+1909424 4933.91 2.92  -0.081  0.133  4.3304e-01  6.7602e-01  2.84   6.99  12.904 0.023 0.009 0.006 0.042 0.117
I  2M20155412+1857492 4734.01 2.53  -0.111  0.123  1.0738e-01  1.7487e+00  1.65   7.12   7.49  0.018 0.006 0.006 0.038 0.116
I  2M20155834+1909468 4951.44 3.24  -0.54   0.198  1.9304e-01  1.6789e+00  1.27   7.44   7.06  0.012 0.005 0.003 0.014 0.04 
I  2M20160196+1916197 5018.12 2.41  -0.618  0.23   1.9408e-01  1.3655e+00  1.61   7.2    7.164 0.013 0.006 0.004 0.026 0.071
I  2M20160218+2044469 4850.27 2.55   0.138  0.052  9.4438e-01 -4.9259e-01  0.74   7.51   3.17  0.008 0.003 0.002 0.015 0.042
I  2M20160577+2059122 4486.64 2.19  -0.304  0.189  1.1734e-01  1.9051e+00  1.02   7.17   3.287 0.012 0.003 0.003 0.021 0.065
I  2M20160802+1856404 4417.97 1.88  -0.519  0.255 -1.6317e-01  2.5215e+00  1.88   8.56   3.201 0.014 0.004 0.003 0.02  0.058
I  2M20160808+2013267 4663.17 2.68  -0.062  0.12   9.8370e-02  2.1613e+00  1.0    6.99   4.297 0.01  0.003 0.003 0.02  0.06 
I  2M20161010+2031515 4742.87 2.79   0.216  0.07   6.0418e-01  8.1054e-01  0.7    7.56   2.816 0.007 0.002 0.002 0.016 0.047
I  2M20161015+2022251 4851.71 2.42  -0.337  0.177 -1.7389e-01  2.5325e+00  1.13   7.05   7.16  0.015 0.006 0.005 0.025 0.069
I  2M20161249+2100341 4849.03 2.99  -0.02   0.042  4.3425e-01  1.2432e+00  0.92   7.47   6.043 0.01  0.004 0.003 0.02  0.058
I  2M20161308+1827029 4597.05 2.59   0.079  0.077  1.2048e-01  2.1549e+00  1.46   6.88   4.957 0.013 0.004 0.004 0.027 0.082
I  2M20162311+1856514 4564.07 2.36  -0.165  0.155  1.1180e-02  2.1114e+00  1.35   7.06   3.789 0.012 0.003 0.004 0.023 0.068
I  2M20162886+2027526 4280.76 1.87   0.072  0.056  2.5209e-01  1.8281e+00  0.78   7.06   1.352 0.006 0.001 0.002 0.012 0.038
I  2M20162911+1954197 4655.18 2.32  -0.067  0.154 -1.1160e-01  2.6354e+00  0.53   7.23   2.079 0.006 0.002 0.002 0.011 0.029
I  2M20163003+1845070 4694.81 2.63  -0.008  0.108 -2.2030e-02  2.3607e+00  1.14   6.9    5.225 0.012 0.004 0.004 0.023 0.069
I  2M20163337+2007581 4162.54 1.76   0.122  0.033  2.0271e-01  2.0671e+00  1.17   7.32   1.373 0.007 0.002 0.002 0.012 0.038
I  2M20163890+2024589 4879.48 2.56   0.056  0.027  9.4681e-01 -4.5608e-01  0.68   7.64   3.445 0.009 0.003 0.002 0.014 0.039
I  2M20164191+2038302 4642.04 2.36  -0.169  0.043  3.2702e-01  1.3724e+00  0.88   7.01   3.561 0.011 0.003 0.003 0.022 0.068
I  2M20164443+1854560 4422.26 1.85  -0.362  0.219 -1.9203e-01  2.6486e+00  1.76  10.03   3.831 0.016 0.005 0.004 0.024 0.069
I  2M20164461+1832254 4672.0  2.33  -0.13   0.18  -2.4527e-01  2.8840e+00  1.2    7.03   3.737 0.011 0.003 0.003 0.016 0.046
I  2M20164626+2052064 4858.12 3.09   0.174  0.051  3.5969e-01  1.8282e+00  1.0    7.5    5.393 0.009 0.004 0.003 0.018 0.054
I  2M20165449+1947146 4679.29 2.51   0.018  0.049  6.6349e-01  4.7692e-01  0.89   6.98   3.385 0.01  0.003 0.003 0.022 0.066
I  2M20165544+2052565 4529.21 2.4    0.096  0.073  1.6750e-02  2.5314e+00  1.01   7.37   3.591 0.012 0.003 0.004 0.022 0.064
I  2M20165900+2021062 4816.23 2.35  -0.437  0.255 -2.0719e-01  2.4564e+00  1.19   7.06   5.256 0.011 0.005 0.003 0.016 0.043
I  2M20165962+2026172 4559.64 2.66   0.056  0.135  7.9290e-02  2.5636e+00  1.02   7.02   3.27  0.009 0.003 0.003 0.017 0.051
I  2M20170571+1958503 4725.1  2.42  -0.371  0.105  2.4391e-01  1.3483e+00  1.99   6.98   6.715 0.018 0.006 0.005 0.032 0.094
I  2M20171033+2037145 4656.32 2.35  -0.037  0.135 -4.4254e-01  3.6618e+00  1.1    7.37   2.941 0.009 0.003 0.003 0.012 0.031
I  2M20171556+2021253 4609.46 2.76   0.203  0.063  1.0315e-01  2.4648e+00  1.1    7.11   4.332 0.011 0.003 0.003 0.022 0.064
I  2M20172013+1940318 4701.28 2.76   0.075  0.105  1.4963e-01  1.9003e+00  2.18   7.22   5.742 0.013 0.004 0.004 0.027 0.08 
I  2M20172027+2023518 4671.56 2.4    0.221  0.054  1.6799e-01  1.9220e+00  1.25   7.16   4.051 0.012 0.003 0.003 0.025 0.071
I  2M20172098+1937412 4693.71 2.53  -0.216  0.114  2.2105e-01  1.5522e+00  0.69   7.62   3.045 0.008 0.003 0.003 0.016 0.05 
I  2M20172328+1933146 4294.48 2.02  -0.031  0.161  9.0910e-02  2.1774e+00  1.44   7.02   2.019 0.009 0.002 0.003 0.015 0.046
I  2M20172469+1922280 4416.0  2.39   0.143  0.081 -3.7370e-02  2.6251e+00  1.59   7.01   2.538 0.009 0.002 0.003 0.016 0.049
I  2M20172799+1931141 4298.26 1.82  -0.023  0.134 -1.7979e-01  2.8788e+00  1.87   7.3    2.379 0.01  0.003 0.003 0.016 0.048
I  2M20173158+2007279 4237.52 1.7   -0.023  0.14   5.3700e-03  2.4381e+00  1.26   7.85   1.784 0.008 0.002 0.003 0.014 0.041
I  2M20173369+2035473 4505.82 2.41   0.002  0.061  1.5405e-01  2.1753e+00  1.11   7.03   3.768 0.012 0.003 0.004 0.025 0.075
I  2M20173477+2041582 4851.47 3.1    0.174  0.029  3.2216e-01  1.8619e+00  0.84   7.59   4.367 0.007 0.003 0.002 0.014 0.042
I  2M20173972+2012587 4092.49 1.89   0.142  0.051  3.6470e-02  2.6743e+00  1.51   7.17   1.802 0.009 0.002 0.003 0.014 0.045
I  2M20174024+1913385 4762.32 2.91  -0.151  0.176  2.4158e-01  1.6005e+00  1.26   7.19   5.326 0.01  0.004 0.003 0.018 0.052
I  2M20174285+2044427 4153.81 1.44  -0.231  0.14   1.9098e-01  1.6849e+00  1.18   8.01   1.508 0.007 0.002 0.003 0.013 0.04 
I  2M20174859+2029222 4775.72 2.49   0.012  0.046  4.2356e-01  1.0488e+00  0.75   7.28   3.579 0.009 0.003 0.002 0.024 0.07 
I  2M20174906+2020557 5052.53 2.89  -0.045  0.021  9.9564e-01 -6.1998e-01  1.23   7.19   7.632 0.017 0.006 0.004 0.026 0.074
I  2M20175113+2026566 4853.74 2.36  -0.284  0.102  4.0500e-03  1.9572e+00  0.9    7.07   5.051 0.012 0.004 0.004 0.022 0.062
I  2M20175371+2024294 4584.67 2.62   0.015  0.115  1.0122e-01  2.3035e+00  1.12   7.19   4.312 0.012 0.003 0.004 0.022 0.066
I  2M20175485+2032263 4125.01 1.54   0.015  0.062 -3.7590e-02  2.6832e+00  0.67   7.08   1.055 0.005 0.001 0.002 0.009 0.026
I  2M20175678+1901450 4837.95 3.21   0.143  0.116 -2.7889e-01  3.3539e+00  2.3    7.15   9.237 0.014 0.006 0.004 0.021 0.061
I  2M20175760+2031139 4656.94 2.76  -0.136  0.101  3.7411e-01  1.5407e+00  2.45   7.49   5.067 0.013 0.004 0.005 0.024 0.074
I  2M20180374+1917311 4495.49 2.06  -0.446  0.191 -4.1880e-02  2.2121e+00  1.35   6.96   2.743 0.011 0.003 0.003 0.017 0.052
I  2M20180979+2002513 4349.63 1.96  -0.097  0.155 -7.1000e-03  2.3786e+00  2.03   7.14   2.648 0.011 0.003 0.003 0.019 0.058
I  2M20181423+1849006 4769.49 2.4   -0.299  0.225  1.5300e-02  1.9169e+00  1.04   7.01   4.577 0.011 0.004 0.002 0.018 0.049
I  2M20181680+1916237 4843.5  2.48  -0.389  0.157  3.8899e-01  9.3370e-01  1.98   7.03   7.993 0.019 0.007 0.005 0.031 0.088
I  2M20181683+2011160 4744.74 2.96   0.186  0.039  2.3027e-01  2.1533e+00  1.38   7.08   5.918 0.012 0.004 0.004 0.023 0.069
I  2M20181724+2018542 4745.41 2.39  -0.339  0.189 -2.4108e-01  2.8824e+00  1.19   7.22   7.163 0.017 0.006 0.005 0.027 0.073
I  2M20181779+1915330 4685.34 2.38  -0.146  0.073  3.2203e-01  1.2285e+00  0.61   7.76   2.676 0.008 0.002 0.003 0.018 0.055
I  2M20181965+2027456 4655.31 2.52   0.038  0.061  7.3997e-01  2.4574e-01  0.95   7.02   3.675 0.011 0.003 0.003 0.023 0.066
I  2M20182877+1951400 4851.56 2.79  -0.24   0.092  3.2866e-01  1.3336e+00  1.05   7.07   8.692 0.016 0.006 0.005 0.028 0.083
I  2M20182906+2003416 4635.59 2.62  -0.015  0.055  6.3070e-02  2.4386e+00  1.14   7.03   5.094 0.013 0.004 0.004 0.025 0.073
I  2M20183133+2027598 4885.9  2.31  -0.617  0.235 -1.4337e-01  2.1679e+00  1.01   7.16   7.594 0.014 0.006 0.004 0.021 0.059
I  2M20183197+1953430 5011.19 3.16   0.071  0.045  6.7576e-01  4.4867e-01  1.49   7.18   8.698 0.014 0.006 0.004 0.03  0.084
I  2M20183321+1921050 4441.28 1.8   -0.208  0.097  5.3789e-01  5.7446e-01  2.38   8.55   3.728 0.016 0.004 0.005 0.032 0.097
I  2M20183395+2021083 4604.16 2.22  -0.106  0.171 -7.2930e-02  2.4217e+00  1.72   7.04   3.419 0.011 0.003 0.003 0.019 0.054
I  2M20183741+1921264 4676.61 2.44  -0.201  0.186 -3.0666e-01  3.0507e+00  2.28   7.2    8.108 0.02  0.007 0.006 0.031 0.09 
I  2M20183777+1914334 4782.18 2.38  -0.105  0.07   4.9764e-01  6.7320e-01  1.52   7.04   5.19  0.014 0.004 0.004 0.033 0.097
I  2M20183979+1856521 4867.19 2.97  -0.479  0.232 -2.2770e-02  2.3194e+00  1.52   7.15   9.869 0.016 0.007 0.004 0.019 0.055
I  2M20184522+1928105 4876.76 2.94  -0.391  0.176  1.0914e-01  1.7995e+00  2.47   6.97  16.201 0.025 0.011 0.008 0.035 0.104
I  2M20184617+1933279 4844.5  2.83  -0.364  0.112  7.0060e-02  1.9386e+00  2.61   6.97  13.695 0.023 0.009 0.007 0.033 0.101
I  2M20184723+1938025 4494.09 2.07  -0.633  0.22   1.0660e-02  2.0208e+00  1.48   7.23   3.94  0.015 0.005 0.004 0.023 0.07 
I  2M20184733+1909203 4832.64 3.12   0.053  0.126 -2.6140e-01  3.2166e+00  2.49   7.1   10.37  0.015 0.007 0.005 0.024 0.07 
I  2M20184780+2023122 4922.54 3.12   0.004  0.09   6.3252e-01  5.8847e-01  1.32   7.14   8.731 0.013 0.006 0.004 0.025 0.071
I  2M20185164+2024424 4557.01 1.92  -0.674  0.219 -1.8409e-01  2.5104e+00  0.94   7.09   3.165 0.011 0.004 0.003 0.017 0.05 
I  2M20185327+1930137 4725.88 2.74  -0.702  0.279 -1.9221e-01  2.7211e+00  2.34   7.02   8.675 0.018 0.007 0.004 0.02  0.06 
