ID,OC,ra,dec,g_mag,g_mag_err,Teff,Teff_err,ref,cal_lum,cal_lum_err,mem_prob
604908416649384960,M67,132.67489139118,11.614602686589999,12.510035,0.00014880835468300234,5491.69140625,91.46673583984376,C,6.177331827659187,0.16863645141313285,1.0
604909142499704704,M67,132.75279123605,11.67813838098,15.154915,0.0003745169215975143,5324.0,63.0,A,0.5515300312443271,0.015514956489358803,1.0
604909589176298368,M67,132.794871298,11.664128090280002,14.488975,0.00032486016696490875,5780.0,33.0,A,0.974979274715345,0.024225148883828828,0.942
604909657895767680,M67,132.82930811836002,11.671027058469999,13.588771,0.0002042198453369145,6131.0,37.0,D,2.2002964847263686,0.057254648431912164,1.0
604910001493155584,M67,132.789563114,11.695828644430001,12.614074,0.00015958731716314375,5411.0634765625,91.46673583984376,C,5.66351311922266,0.16012423040435986,0.981
604910546953207680,M67,132.84065264066,11.73473400325,14.020125,0.00022904134546857465,5869.0,35.0,A,1.4939995591465085,0.037217941848069626,1.0
604911135364520448,M67,132.75849241869,11.75529777744,14.800416,0.0003695183576510897,5597.0,49.0,A,0.741801577954509,0.01888159028574936,1.0
604911341522929536,M67,132.83466054538,11.76456537158,13.024863,0.00024384952982498822,6156.0,70.0,E,3.696208808977088,0.09698968926643994,1.0
604911650760586624,M67,132.79126774873998,11.771363869719998,14.392676000000002,0.00032832922934105654,5822.0,37.0,A,1.0627577184254098,0.02643253882338618,1.0
604911685120320512,M67,132.80086749883998,11.787453600720001,14.927113,0.0004097126186758274,5524.0,44.0,A,0.6645801336979813,0.017133287176770266,1.0
604912402379032704,M67,132.69631642471,11.715217284749999,14.018824,0.00020668301688593933,6007.0,45.0,A,1.4866501947248447,0.03768293111868135,1.0
604912647193030016,M67,132.65051212498,11.721681419660001,12.502462,0.0001625203568322507,5016.896484375,91.46673583984376,C,6.691998860163817,0.2404997875346011,1.0
604914021582551168,M67,132.71788690228001,11.75098534781,14.478691,0.00028356085730101845,5810.0,40.0,A,0.9824892340053564,0.024446362684734442,1.0
604914468259140224,M67,132.76352037477,11.763157060569998,12.517296,0.00019459096226297543,5986.0,41.0,F,5.931618449679878,0.14978049097529664,1.0
604914949295282816,M67,132.75330770931998,11.81465369096,14.466601999999998,0.0002921279872433671,5810.0,28.0,A,0.993489566083135,0.02466499781649253,1.0
604915086734257152,M67,132.6606666374,11.77678713518,15.241210999999998,0.0003244917210200788,5290.0,67.0,A,0.5118203557960036,0.014714220109212894,1.0
604915636490059008,M67,132.70806438179,11.82020070602,12.701582,0.00016232248207272848,5180.24462890625,91.46673583984376,C,5.4002073134233175,0.17368098037856286,1.0
604915705209528320,M67,132.73604954168002,11.83184139674,14.493231,0.0002706098525184943,5771.0,37.0,A,0.9717093933990528,0.024168362917966958,1.0
604915739569261184,M67,132.75436259021,11.836351827,12.555823,0.00019616958789668112,5448.03857421875,91.46673583984376,C,5.950222656150327,0.16542937533896507,1.0
