ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573744103886519040,15.909746,0.000530843586688378,15.346109,0.0023773385108080765,16.314653,0.004710092055456049,0.4485,1.2569481,0.21061254,1827.46738146323,135.54332136377002,01005830+8459299,14.265,0.064,15.24273660769,84.99164023931999,1.0,0.968544,0.005276050186061668,-2.6231194
573744688001774080,15.535738,0.0004368513543679953,14.992898,0.00266145290011882,15.916364,0.0028739330970034235,0.9415,2.022968,0.31815135,1944.8433813199,129.4640052674199,01003627+8500051,14.002,0.053,15.151038795829999,85.00144753559,1.0,0.9234657,0.003916991573338213,-2.4181547
573745817576439680,16.349789,0.0008082014548064144,15.782532,0.0037538646167689974,16.76536,0.0059330467725856395,0.5553,1.0430411,0.27201128,1994.92895513244,250.8408028782801,01042162+8503436,14.627,0.085,16.089927591379997,85.06211751855,1.0,0.98282814,0.007020864873127749,-3.0095959
573747299341887488,16.938446,0.0008437192399419482,16.315468,0.006125671514295868,17.419432,0.007602324151244567,,0.47806582,0.1284261,1740.30405996121,235.80138200657007,00585979+8500377,14.972,0.119,14.74953460593,85.01049090449,1.0,1.1039639,0.009763154408368857,-3.1439953
573747432484111104,16.718126,0.0007458645405284786,16.113283,0.004661383256547056,17.183582,0.0072931421066282165,0.5792,0.76246953,0.22209662,1984.9941400847,288.3056045105602,00570018+8500472,15.018,0.12,14.250613269870001,85.01310374172,0.9,1.0702991,0.008655542481664029,-3.0499172
573747535563330560,17.155792,0.0009446416017834474,16.503801,0.005744801428504192,17.682413,0.010912263369283465,,,,2103.25277417325,361.37162588724004,00563962+8501458,14.982,0.129,14.16518374762,85.02940609334,1.0,1.1786118,0.012332081547474033,-3.0814114
573747883457427584,15.336721,0.00044016018185670687,14.805461,0.0017269706866491165,15.703622,0.0035956739489949137,,2.6695716,0.3990121,2049.6206110464,124.31944856028986,00592430+8504122,13.844,0.05,14.851286746139998,85.07008251415999,0.9,0.89816093,0.0039888969527960986,-2.3140316
573748089615854848,17.396574,0.0010722857502740016,16.71477,0.009222072270727265,17.947382,0.015221518348658465,,,,1585.58882945146,249.46658562256994,00572523+8504374,15.271,0.156,14.35520500043,85.07705395191,0.9,1.2326126,0.01779722556481945,-3.11969
573748261414555520,16.150536,0.000611670588896124,15.584489,0.002426899940831386,16.57652,0.00402378408423727,0.531,1.2630879,0.24721181,2024.49754313156,176.27388676705027,00555477+8501525,14.557,0.082,13.978187207229999,85.03126217538001,1.0,0.99203205,0.004699008584730246,-2.7758284
573748600715229952,16.664207,0.0007527608511149101,16.068565,0.0034718732564598086,17.107513,0.00485920970768456,,0.90633017,0.24549156,2093.25818087466,270.52037490553994,00533776+8504213,15.086,0.128,13.407584199530001,85.07261222294001,0.9,1.038948,0.005972086979622509,-3.1135654
573748742450797952,16.101868,0.000592254792909184,15.532965,0.003273928220842591,16.516788,0.0036580941722534842,0.499,1.0240395,0.19103849,1797.05653856081,153.65468638223,00540076+8505153,14.576,0.083,13.503198540210002,85.08758197627,1.0,0.9838238,0.004909201459331694,-2.7579422
573748806873663744,15.97807,0.00063367435541891,15.427038,0.0028140461781795303,16.387587,0.0034690171032396837,0.269,0.9369256,0.153516,1638.40390810501,122.62913230419008,00563322+8504054,14.409,0.069,14.138324302910002,85.06816637128,1.0,0.9605484,0.004466870890847,-2.721427
