KIC ID|RA Dec
KIC 2447604|292.3582244343602 +37.7332614680234
KIC 2448225|292.4967728305448 +37.7842470976942
KIC 2448260|292.5042573151873 +37.7111878600750
KIC 2448679|292.5981315839355 +37.7622354589835
KIC 2448756|292.6159620302194 +37.7820710773618
KIC 2449020|292.6824138316161 +37.7523811410895
KIC 2449327|292.7506073861079 +37.7025315170452
KIC 2449374|292.7586557743154 +37.7789846386392
KIC 2449518|292.7987253550321 +37.7651951556836
KIC 2449558|292.8068999370033 +37.7641925034894
KIC 2449570|292.8099027451354 +37.7653906945747
KIC 2449703|292.8401161889764 +37.7310969223163
KIC 2449858|292.8732489306025 +37.7072256600978
KIC 2450318|292.9773964322892 +37.7921912003731
KIC 2451509|293.2432246185553 +37.7025677488710
KIC 2451903|293.3280730274960 +37.7456093763544
KIC 2452439|293.4464247412354 +37.7709441533244
KIC 2452890|293.5387266125468 +37.7542947037082
KIC 2554152|285.7942941481433 +37.8327443516322
KIC 2554924|286.0514339087534 +37.8144792313321
KIC 2556252|286.4616061377768 +37.8583032814544
KIC 2556387|286.5053555662664 +37.8862783216453
KIC 2556475|286.5322267746483 +37.8658431121839
KIC 2556640|286.5893762 +37.8342250
KIC 2557392|286.8334284060085 +37.8559670921687
KIC 2557441|286.8504736840671 +37.8690699744319
KIC 2557556|286.8829162035969 +37.8770366637974
KIC 2557799|286.9591627289954 +37.8423982068558
KIC 2557864|286.9793074838869 +37.8528048123597
KIC 2557942|287.0021164863221 +37.8974020382222
KIC 2558677|287.2416810272421 +37.8703285861725
KIC 2558794|287.2851669085749 +37.8838242878209
KIC 2568563|290.0259406347602 +37.8945212988436
KIC 2568912|290.0975548199895 +37.8230951174442
KIC 2569055|290.1252393610657 +37.8386579140889
KIC 2569360|290.1639396478907 +37.8013524398706
KIC 2569618|290.1927013992324 +37.8196017618680
KIC 2569945|290.2236932814107 +37.8399171897690
KIC 2570094|290.2404595452414 +37.8170067732228
KIC 2570172|290.2482889826638 +37.8030033964397
KIC 2570214|290.2521977379004 +37.8385684025741
KIC 2570244|290.2560489692545 +37.8014406236259
KIC 2570370|290.2735044057247 +37.8645950910709
KIC 2570384|290.2752056906233 +37.8680674636403
KIC 2570518|290.2919563097423 +37.8335723153452
KIC 2570659|290.3123475333213 +37.8928527086867
KIC 2570715|290.3214067644866 +37.8010950367928
KIC 2570870|290.3477620450567 +37.8342371093256
KIC 2571106|290.3940622022400 +37.8344210564236
KIC 2571323|290.4430492379725 +37.8645429992419
KIC 2571668|290.5232548128779 +37.8802655832774
KIC 2572089|290.6175774977088 +37.8733932246461
KIC 2572323|290.6730573687054 +37.8557572158140
KIC 2572430|290.7031316514547 +37.8373090323410
KIC 2572522|290.7220383138975 +37.8785151577542
KIC 2572667|290.7564845309081 +37.8406271958784
KIC 2573092|290.8571522054824 +37.8760103709167
KIC 2573548|290.9609961790991 +37.8897656718583
KIC 2574191|291.1065850231480 +37.8040280630401
KIC 2574543|291.1875605218071 +37.8535061957684
KIC 2575024|291.2952306856880 +37.8986259490829
KIC 2575044|291.3005975556383 +37.8559140665817
KIC 2576211|291.5427167894586 +37.8703263358307
KIC 2576417|291.5851089213438 +37.8299009440182
KIC 2576640|291.6343309804967 +37.8466834999023
KIC 2576993|291.7085802201426 +37.8953871985026
KIC 2577330|291.7765878691963 +37.8176346991583
KIC 2578184|291.9498019190646 +37.8838384565606
KIC 2578198|291.9518246098031 +37.8924261500297
KIC 2578301|291.9766744535286 +37.8542627818916
KIC 2578581|292.0324353157936 +37.8352453899848
KIC 2579142|292.1557987420454 +37.8485876512069
KIC 2579661|292.2688333242675 +37.8929352333765
KIC 2580691|292.4921472983525 +37.8067754070153
